title,company,location,created,salary_min,salary_max,description,redirect_url,search_role,search_country
Data Analyst,Gajalakshmi Financial Servvices,"Mumbai, Maharashtra",2025-08-22T08:28:18Z,,,"Company Description We suggest you enter details here. Role Description This is a full-time on-site role for a Data Analyst located in Ballard Estate,Fort Mumbai. The Data Analyst will be responsible for collecting, processing, and analyzing data to provide insights that support business decisions. The role includes performing data modeling, creating reports, visualizing data, and communicating findings to stakeholders. The Data Analyst will also be expected to ensure data accuracy and identify…",https://www.adzuna.in/land/ad/5363165383?se=Hhzb4riE8BGDoY38EcHfQA&utm_medium=api&utm_source=d8fd1a4d&v=7BC61E54791541620C54BB162D54435DAE32C459,data analyst,in
Data Analyst,Techmantu Digital,"Bangalore, Karnataka",2025-06-17T09:24:39Z,,,"Techmantu is a 10 year-old digital media consultancy specializing in strategy, implementation, and operations in digital marketing and skilling. The Shared Services team plays a critical role in supporting multiple practice areas, including Techmantu Marketing and Techmantu Skilling, by enabling seamless operational workflows and ensuring high-quality project delivery. We are looking for Data Analysts to contribute to our consulting engagements across both digital marketing and skilling domains…",https://www.adzuna.in/land/ad/5254066486?se=Hhzb4riE8BGDoY38EcHfQA&utm_medium=api&utm_source=d8fd1a4d&v=FA08F52367A131C4F75C0B4EDA9750B9D16AE1DE,data analyst,in
Data Analyst,Trinet Technologies,India,2025-08-27T08:10:58Z,,,"Role Description The Data Analyst will be responsible for analyzing data, developing data models, and applying statistical techniques to extract insights. Tasks include preparing reports, visualizations, and presentations, and collaborating with stakeholders to understand data needs. The Data Analyst will also be expected to maintain data quality and contribute to strategic decision-making through data insights. Qualifications Strong Analytical Skills and Data Analytics experience Proficiency i…",https://www.adzuna.in/land/ad/5369876190?se=Hhzb4riE8BGDoY38EcHfQA&utm_medium=api&utm_source=d8fd1a4d&v=3F0AC95B915D661BB0DE973C7429264C218DFECF,data analyst,in
Data Analyst,IPG Mediabrands India,"Pune, Maharashtra",2025-08-24T08:42:15Z,,,"We’re Hiring – Join Our Growing Data Team!  Hi LinkedIn Network  We are actively hiring for Data Analyst roles. If you’re passionate about data and want to work on impactful projects with a collaborative team, check out the opening below:  Data Analyst (immediate joiners)  Experience: 3-5 years  Must have: Python, SQL, Power BI and Tableau Location: Pune/Hybrid Interview Mode: F2F in office (Attendance in person is mandatory as we are not conducting any virtual interviews) Shift Time : Night Sh…",https://www.adzuna.in/land/ad/5366364435?se=Hhzb4riE8BGDoY38EcHfQA&utm_medium=api&utm_source=d8fd1a4d&v=4638B5FD811F4B8E3E7B09945A1859F286254E94,data analyst,in
Data Analyst,ComfNet Solutions GmbH,"Bangalore, Karnataka",2025-08-27T08:10:34Z,,,Immediate hiring for an MNC - A Hitachi group company - Full-time. Only Immediate Joiners  Immediate Hiring | Statistical Data Analyst (5–8 Years)  Location: Pan India (Onsite) (Hybrid)  Client: Leading MNC Tech Space ⏳ Notice Period: Immediate Joiners Only  Experience: 4 to 8 Years - Mandatory Location: Pan India - 100% Onsite - WFO / 5 Days working - Hybrid Note: We are not looking for a Power BI or Tableau expert. We are looking for a Statistical Data Analyst—someone with exceptional statist…,https://www.adzuna.in/land/ad/5369874414?se=Hhzb4riE8BGDoY38EcHfQA&utm_medium=api&utm_source=d8fd1a4d&v=A0430954C10187F6E32C29A0AB5D63E3DD13F669,data analyst,in
Data Analyst,Phoenix Contact,"Faridabad, Haryana",2025-08-23T08:36:40Z,,,"KPI Data Analyst Department: Technical Documentation : TSSC Location: Anangpur, Faridabad Budget: 10 - 12 LPA Job Title: KPI Data Analyst Experience: 3-5 years Job Responsibilities: Collect, verify, and report Quality & Cost KPI data. MSTR Reporting and Reports (focus MSTR) are optimized and conform with corporate requirements and BU/BA individual requirements where possible. Quality KPIs and cost data is aquired, verified (format, plausibility, units, etc), transformed into target formats and …",https://www.adzuna.in/land/ad/5364898192?se=Hhzb4riE8BGDoY38EcHfQA&utm_medium=api&utm_source=d8fd1a4d&v=6C32167D6EA89918F436529F9ABBB75909C28EE2,data analyst,in
Data Analyst,Maxima Apparel,India,2025-08-13T09:07:59Z,,,"Revolutionize Reporting and Analytics – Be the Data Analyst Who Makes a Difference! At Maxima Apparel , we are committed to leveraging data to drive innovation in reporting and analytics. As we expand our portfolio of brands and licenses, we are looking for a skilled Data Analyst to lead the development of Power BI reports and ensure a seamless flow of insights. Shift Timing: Full-time Monday-Friday aligned with east coast United States (6:30pm-3:30am IST) Location: Gurgaon, India Experience: 1…",https://www.adzuna.in/land/ad/5350075430?se=Hhzb4riE8BGDoY38EcHfQA&utm_medium=api&utm_source=d8fd1a4d&v=05B97B8C6E939EF6301EFB0FBBE6446D5E59E507,data analyst,in
Data Analyst,EliteRecruitments,"Delhi, India",2025-08-23T08:36:06Z,,,"Role: Data Analyst Location: Gurgaon / Noida / Bangalore / Pune / Hyderabad Experience: 4–6 years Notice Period: Immediate Joiners About the Role: We’re looking for a Data Analyst to join our team and drive the development of analytics-driven fraud detection solutions . In this role, you’ll design, build, and optimize analytical workflows using SQL, Python, PySpark, and Hadoop , while working closely with fraud analytics and operations teams to strengthen frameworks for card transactions and ac…",https://www.adzuna.in/land/ad/5364896413?se=Hhzb4riE8BGDoY38EcHfQA&utm_medium=api&utm_source=d8fd1a4d&v=BFD41EEC4E85A3603F4C0648C9DAF8DAFDD7783D,data analyst,in
Data Analyst,VAANTECH,"Chennai, Tamil Nadu",2025-08-01T10:33:22Z,,,"We’re Hiring: Data Analyst – Tableau  Location: Chennai (Remote)  Experience: 3 Years  Notice Period: Immediate Joiners  Shift: Includes Night Shifts (US Shift) ⭐ Preferred Candidates: From Chennai, Andhra Pradesh, Kerala & Bangalore Job Summary We are seeking a highly skilled Data Analyst with proven expertise in Tableau to join our team. This role is best suited for professionals who excel in Tableau and can create impactful data visualizations without reliance on other BI tools like Power BI…",https://www.adzuna.in/land/ad/5331296136?se=Hhzb4riE8BGDoY38EcHfQA&utm_medium=api&utm_source=d8fd1a4d&v=0F06552B5389EB11B1F4D61E79AB135E4D46A9F1,data analyst,in
Data Analyst,2Base Technologies,"Bangalore, Karnataka",2025-08-09T11:52:21Z,,,"We are seeking a highly analytical and detail-oriented Data Analyst to join our team. This role is instrumental in transforming raw data into actionable insights that guide strategic and operational decisions. You will work closely with cross-functional teams to collect, process, analyze, and interpret data that drives measurable business outcomes. Key Responsibilities Collect data from various internal and external sources, ensuring accuracy and consistency. Clean and preprocess data, identify…",https://www.adzuna.in/land/ad/5345118563?se=Hhzb4riE8BGDoY38EcHfQA&utm_medium=api&utm_source=d8fd1a4d&v=90204F6F3A4F95C4F18F1FA7A1F43C46880DED61,data analyst,in
