title,company,location,skills,skill
Data Analyst,Gajalakshmi Financial Servvices,"Mumbai, Maharashtra",,
Data Analyst,Techmantu Digital,"Bangalore, Karnataka",,
Data Analyst,Trinet Technologies,India,,
Data Analyst,IPG Mediabrands India,"Pune, Maharashtra","python, sql, power bi, tableau",python
Data Analyst,IPG Mediabrands India,"Pune, Maharashtra","python, sql, power bi, tableau",sql
Data Analyst,IPG Mediabrands India,"Pune, Maharashtra","python, sql, power bi, tableau",power bi
Data Analyst,IPG Mediabrands India,"Pune, Maharashtra","python, sql, power bi, tableau",tableau
Data Analyst,ComfNet Solutions GmbH,"Bangalore, Karnataka","power bi, tableau",power bi
Data Analyst,ComfNet Solutions GmbH,"Bangalore, Karnataka","power bi, tableau",tableau
Data Analyst,Phoenix Contact,"Faridabad, Haryana",,
Data Analyst,Maxima Apparel,India,power bi,power bi
Data Analyst,EliteRecruitments,"Delhi, India","python, sql",python
Data Analyst,EliteRecruitments,"Delhi, India","python, sql",sql
Data Analyst,VAANTECH,"Chennai, Tamil Nadu","excel, power bi, tableau",excel
Data Analyst,VAANTECH,"Chennai, Tamil Nadu","excel, power bi, tableau",power bi
Data Analyst,VAANTECH,"Chennai, Tamil Nadu","excel, power bi, tableau",tableau
Data Analyst,2Base Technologies,"Bangalore, Karnataka",,
Data Analyst,Styli,"Bangalore, Karnataka",,
Data Analyst,Crystal Works,"New Delhi, Delhi",,
Data Analyst,Artefact,"Pune, Maharashtra",,
Data Analyst,Technogen India Pvt. Ltd.,"Hyderabad, Telangana","python, sql",python
Data Analyst,Technogen India Pvt. Ltd.,"Hyderabad, Telangana","python, sql",sql
Data Analyst,Technogen India Pvt. Ltd.,"Hyderabad, Telangana","python, sql",python
Data Analyst,Technogen India Pvt. Ltd.,"Hyderabad, Telangana","python, sql",sql
Data Analyst,Zetheta Algorithms Private Limited,India,,
Data Analyst,SmartQ,"Bangalore, Karnataka",,
Data Analyst,PureSpectrum,"Hyderabad, Telangana",,
Data Analyst,Aditi Consulting,"Bangalore, Karnataka","python, sql",python
Data Analyst,Aditi Consulting,"Bangalore, Karnataka","python, sql",sql
Data Analyst,Blue Spire Inc,"Hyderabad, Telangana",,
Data Analyst,TEKsystems,India,,
Data Analyst,Darwinbox,"Hyderabad, Telangana",,
Data Analyst,ALTEN India,"Bangalore, Karnataka",,
Data Analyst,Chargeback Gurus,"Chennai, Tamil Nadu",,
Data Analyst,Silverspace Inc,"Ahmedabad, Gujarat",,
Data Analyst,Randstad,"Bangalore, Karnataka",,
Data Analyst,ICICI Lombard General Insurance Company Limited,"Mumbai, Maharashtra",,
Data Analyst,HINDCO Consulting Services,"Bangalore, Karnataka",,
Data Analyst,bp,"Pune, Maharashtra",sql,sql
Data Analyst,VOIS,India,,
Data Analyst,AAA Global,"Mumbai, Maharashtra",excel,excel
Data Analyst,Thriwe,"Delhi, India",,
Data Analyst,Midtown Software,"Chandigarh, India",,
Data Analyst @ Pune,Quess IT Staffing,"Pune, Maharashtra","python, sql, excel, power bi",python
Data Analyst @ Pune,Quess IT Staffing,"Pune, Maharashtra","python, sql, excel, power bi",sql
Data Analyst @ Pune,Quess IT Staffing,"Pune, Maharashtra","python, sql, excel, power bi",excel
Data Analyst @ Pune,Quess IT Staffing,"Pune, Maharashtra","python, sql, excel, power bi",power bi
Junior Data Analyst,Kliniko Ai,India,"python, sql",python
Junior Data Analyst,Kliniko Ai,India,"python, sql",sql
Guidewire Data Analyst,Zensar Technologies,"Pune, Maharashtra",,
Lead Data Analyst,Celsior,"Thiruvananthapuram, Kerala",,
Fresher Data Analyst,CryptoChakra,India,machine learning,machine learning
Senior Data Analyst,Eternz,"Bangalore, Karnataka",,
Senior Data Analyst,Different Hair Pvt. Ltd,"Chennai, Tamil Nadu",,
Associate Data Analyst,Allianz Services,"Pune, Maharashtra","python, sql, excel, power bi",python
Associate Data Analyst,Allianz Services,"Pune, Maharashtra","python, sql, excel, power bi",sql
Associate Data Analyst,Allianz Services,"Pune, Maharashtra","python, sql, excel, power bi",excel
Associate Data Analyst,Allianz Services,"Pune, Maharashtra","python, sql, excel, power bi",power bi
Customer Data Analyst,Netradyne,India,tableau,tableau
2764 - Data Analyst,EXL,"Pune, Maharashtra",sql,sql
Lead Data Analyst,Trantor,India,,
Fraud Data Analyst,Airtel Payments Bank,India,machine learning,machine learning
Master Data Analyst,Verdantis,"Mumbai, Maharashtra",machine learning,machine learning
Senior Data Analyst,Cognizant,"Hyderabad, Telangana","sql, excel, tableau",sql
Senior Data Analyst,Cognizant,"Hyderabad, Telangana","sql, excel, tableau",excel
Senior Data Analyst,Cognizant,"Hyderabad, Telangana","sql, excel, tableau",tableau
Guidewire-Data Analyst,ValueMomentum,"Hyderabad, Telangana","sql, power bi, tableau",sql
Guidewire-Data Analyst,ValueMomentum,"Hyderabad, Telangana","sql, power bi, tableau",power bi
Guidewire-Data Analyst,ValueMomentum,"Hyderabad, Telangana","sql, power bi, tableau",tableau
Senior Data Analyst,"Mettler-Toledo International, Inc","Mumbai, Maharashtra",,
Data Analyst - Alteryx,LTIMindtree,"Mumbai, Maharashtra","sql, excel",sql
Data Analyst - Alteryx,LTIMindtree,"Mumbai, Maharashtra","sql, excel",excel
Data Science Analyst,BlueHalo LLC,"Sandia Base, Bernalillo County",,
Data Analyst,DataAnnotation,"Riverside, Riverside County",python,python
Data Analyst,Health Insurance Alliance LLC,"Fort Lauderdale, Broward County",,
Data Analyst,Sterling Engineering Inc.,"Atlanta, Fulton County",,
Data Analyst,Harris & Harris,"Chicago, Cook County",,
Data Analyst,Axiom Software Solutions Limited,"New York City, New York",,
Data Analyst,Sanford Careers,"Marne, Ottawa County",,
Data Analyst,Gupta Media,"Boston, Suffolk County",,
Data Analyst,Beamer and Userflow,"Minneapolis, Hennepin County",,
"Staff Data Analyst, Product",Vercel,"Washington, Washington, D.C.",,
Contract Data Analyst,JST,"Aurora, Arapahoe County",,
Senior Data Analyst,DailyPay,"New York City, New York",,
Data Analyst Internship,ConnectPrep,"San Francisco, California",,
Senior Data Analyst,CSA Global LLC,"Dahlgren, King George County",,
Enterprise Data Analyst,CXtec,"Norcross, Gwinnett County",,
Data Analyst II,SierTeK Ltd.,"Dayton, Montgomery County",,
Metrics and Data Analyst,"THOR Solutions, LLC","Norfolk, Norfolk City",,
Data Analyst,ManpowerGroup,"Charlotte, Mecklenburg County",excel,excel
Data Analyst,Robert Half,"Nashville, Davidson County",,
Data Analyst,CACI International,"Riverside, Riverside County",python,python
Data Analyst,CBRE,"Grand Central, Manhattan",,
Data Analyst,CBRE,"Pico Heights, Los Angeles County",,
Data Analyst,Insight Global,"Wichita, Sedgwick County",,
Data Analyst,Insight Global,"Lathrup Village, Oakland County",excel,excel
Data Analyst,Robert Half,"Atlanta, Fulton County",,
Data Analyst,Continental Resources,"Oklahoma City, Oklahoma County",,
Data Analyst,UIC Government Services and the Bowhead Family of Companies,"Prichard, Mobile County",,
Data Analyst,Imagine One Technology & Management,"Washington, D.C., US",,
Data Analyst,Robert Half,"Atlanta, Fulton County","power bi, tableau",power bi
Data Analyst,Robert Half,"Atlanta, Fulton County","power bi, tableau",tableau
Data Analyst,Emerson,"Marshalltown, Marshall County",excel,excel
Data Analyst,Insight Global,"SoMa, San Francisco",,
Data Analyst,Insight Global,"Redmond, King County",,
Data Analyst,Robert Half,"Atlanta, Fulton County","excel, power bi, tableau",excel
Data Analyst,Robert Half,"Atlanta, Fulton County","excel, power bi, tableau",power bi
Data Analyst,Robert Half,"Atlanta, Fulton County","excel, power bi, tableau",tableau
Data Analyst,Robert Half,"Princeton, Mercer County",,
Data Analyst,Leidos,"Redstone Arsenal, Madison County",,
Data Analyst,"CGI Technologies and Solutions, Inc.","Lafayette, Lafayette Parish",,
Data Analyst,"CGI Technologies and Solutions, Inc.","Lonsdale, Knox County",,
DATA ANALYST,Home Depot,"Atlanta, Fulton County",,
Data Analyst,Robert Half,"Raritan, Somerset County",,
Data Analyst,University of Washington,"International, King County",,
Data Analyst,TEKsystems,"Corbins Corner, Hartford County",excel,excel
Data Analyst,Insight Global,"Quivira, Johnson County",,
Data Analyst,Cushman & Wakefield,"Grand Central, Manhattan",,
Data Analyst,Brookfield Properties,"Saint Andrews, Charleston County",,
Data Analyst,Motrex LLC,"Alpharetta, Fulton County",,
Data Analyst,Motrex LLC,"Fort Smith, Sebastian County",,
Data Analyst,Parsons Corporation,"Aiea, Honolulu",,
Data Analyst,Lyft,"Grand Central, Manhattan",,
Data Analyst,Paramount,"Pico Heights, Los Angeles County",,
Data Analyst,ICF,"Urbanización El Vedado, San Juan",,
Payroll Data Analyst,Hays,"Cheltenham, Gloucestershire",,
Finance Data Analyst,Hays,"London, UK",,
Data Analyst,First Recruitment Services,"Newhaven, East Sussex","sql, excel, power bi",sql
Data Analyst,First Recruitment Services,"Newhaven, East Sussex","sql, excel, power bi",excel
Data Analyst,First Recruitment Services,"Newhaven, East Sussex","sql, excel, power bi",power bi
Data Analyst,Lorien,"London, UK","sql, tableau",sql
Data Analyst,Lorien,"London, UK","sql, tableau",tableau
Data Analyst,Harnham - Data & Analytics Recruitment,"Derbyshire, East Midlands",,
Data Analyst,Cedar,"West Midlands, UK",,
Data Analyst,Proactive Appointments,"Northampton, Northamptonshire",,
Data Analyst,Tenth Revolution Group,"Fareham, Hampshire",,
Data Analyst,Proactive Appointments,"Exeter, Devon",power bi,power bi
Data Analyst,Corus Consultancy,"Birmingham, West Midlands",excel,excel
Data Analyst,Outserve,"Stafford, Staffordshire",,
Data Analyst,Harnham - Data & Analytics Recruitment,"Manchester, Greater Manchester",,
Data Analyst,Proprec,"South West England, UK",,
Data Analyst,Tenth Revolution Group,"London, UK",,
Data Analyst,Tenth Revolution Group,"London, UK",,
Data Analyst,Tenth Revolution Group,"Manchester, Greater Manchester",,
Data Analyst,Tenth Revolution Group,"Leeds, West Yorkshire",,
Carbon Data Analyst,Unipart,"Nuneaton, Warwickshire",,
SHEQ Data Analyst,FCC Environment,"Doncaster, South Yorkshire",,
Senior Data Analyst,Hays,"Markfield, Leicestershire",,
Customer Data Analyst,IMSERV EUROPE LIMITED,"Milton Keynes, Buckinghamshire",excel,excel
Data Analyst Trainee,ITOL Recruit,"Gloucester, Gloucestershire",,
Data Analyst Trainee,ITOL Recruit,"Ireland, Shefford",,
Data Analyst Trainee,ITOL Recruit,"Newcastle Upon Tyne, Tyne & Wear",,
Data Analyst Trainee,ITOL Recruit,"Slough, Berkshire",,
Data Analyst Trainee,ITOL Recruit,"Northampton, Northamptonshire",,
Data Analyst Trainee,ITOL Recruit,"Doncaster, South Yorkshire",,
Data Analyst Trainee,ITOL Recruit,"Blackpool, Lancashire",,
Data Analyst Trainee,ITOL Recruit,"Mansfield, Nottinghamshire",,
Data Analyst Trainee,ITOL Recruit,"Brighton, East Sussex",,
Data Analyst Trainee,ITOL Recruit,UK,,
Data Analyst Trainee,ITOL Recruit,"London, UK",,
Data Analyst Trainee,ITOL Recruit,"Peterborough, Eastern England",,
Data Analyst Trainee,ITOL Recruit,"Stoke-On-Trent, Staffordshire",,
Data Analyst Trainee,ITOL Recruit,"Birkenhead, Merseyside",,
Data Analyst Trainee,ITOL Recruit,"Heathrow, Hounslow",,
Data Analyst Trainee,ITOL Recruit,"Luton, Bedfordshire",,
Data Analyst Trainee,ITOL Recruit,"Wigan, Greater Manchester",,
Data Analyst Trainee,ITOL Recruit,"Ilford, Essex",,
Data Analyst Trainee,ITOL Recruit,"Plymouth, South West England",,
Data Analyst Trainee,ITOL Recruit,"Uxbridge, London",,
Data Analyst Trainee,ITOL Recruit,"Marton-In-Cleveland, Middlesbrough",,
Data Analyst Trainee,ITOL Recruit,"Preston, Lancashire",,
Data Analyst Trainee,ITOL Recruit,"Swindon, Wiltshire",,
Data Analyst Trainee,ITOL Recruit,"Portsmouth, Hampshire",,
Data Analyst Trainee,ITOL Recruit,"Glasgow City Centre, Glasgow",,
Data Analyst Trainee,ITOL Recruit,"Edinburgh Technopole, Milton Bridge",,
Data Analyst Trainee,ITOL Recruit,"Romford, Essex",,
Data Analyst Trainee,ITOL Recruit,"Norwich, Norfolk",,
Data Analyst Trainee,ITOL Recruit,"Barking, Essex",,
Data Analyst,FillaRole,"Concord, York region",,
Data Analyst,FLiiP,"Brossard, Champlain",,
Data Analyst,Spectrum Health Care,"Toronto, Ontario",,
Data Analyst,Insight Global,"Toronto, Ontario",,
Data Analyst,Insight Global,"Toronto, Ontario","power bi, tableau",power bi
Data Analyst,Insight Global,"Toronto, Ontario","power bi, tableau",tableau
Data Analyst,Insight Global,"Toronto, Ontario",,
Data Analyst,FillaRole,"North York, Toronto",,
Data Analyst,Swim Recruiting,"Greater Vancouver, British Columbia",,
Data Analyst,E-Trade,Canada,,
Data Analyst,Annexit Solutions,"Toronto, Ontario",,
Data Analyst,Sun Life Assurance Company of Canada,Canada,,
Data Analyst,Chubb,"Ontario, Canada",,
